timestamp_ms,track_id,class,x_min,y_min,x_max,y_max
17450.766666666666,372,person,327,1152,448,1480
17450.766666666666,179,car,2039,1031,2220,1159
17450.766666666666,333,person,3678,1173,3781,1408
17450.766666666666,388,person,740,1241,896,1701
17450.766666666666,363,car,1935,989,2053,1087
17450.766666666666,398,car,3032,1170,3433,1382
17450.766666666666,277,person,3483,1161,3589,1415
17450.766666666666,374,motorcycle,3317,1286,3590,1636
17484.13333333333,3,car,2235,1835,3466,2146
17484.13333333333,71,person,3775,1153,3838,1495
17484.13333333333,372,person,328,1149,468,1481
17484.13333333333,179,car,2041,1031,2220,1159
17484.13333333333,333,person,3678,1178,3782,1408
17484.13333333333,388,person,741,1242,893,1701
17484.13333333333,363,car,1935,989,2053,1087
17484.13333333333,398,car,3025,1169,3427,1384
17484.13333333333,374,motorcycle,3328,1326,3611,1646
17517.500000000004,3,car,2235,1836,3466,2148
17517.500000000004,71,person,3775,1144,3838,1495
17517.500000000004,372,person,329,1148,480,1481
17517.500000000004,179,car,2041,1031,2220,1159
17517.500000000004,333,person,3678,1178,3781,1409
17517.500000000004,388,person,740,1241,893,1703
17517.500000000004,363,car,1935,989,2053,1087
17517.500000000004,398,car,3020,1168,3423,1385
17517.500000000004,374,motorcycle,3339,1319,3639,1660
17517.500000000004,277,person,3482,1160,3588,1387
17550.86666666667,3,car,2234,1836,3466,2148
17550.86666666667,71,person,3776,1137,3838,1495
17550.86666666667,372,person,327,1148,493,1483
17550.86666666667,179,car,2042,1031,2219,1159
17550.86666666667,333,person,3679,1178,3780,1408
17550.86666666667,388,person,740,1240,894,1704
17550.86666666667,363,car,1935,989,2053,1087
17550.86666666667,398,car,3016,1168,3412,1384
17550.86666666667,374,motorcycle,3350,1321,3670,1672
17550.86666666667,403,person,940,1024,996,1196
17584.233333333334,3,car,2234,1836,3466,2148
17584.233333333334,71,person,3776,1127,3838,1494
17584.233333333334,372,person,326,1155,500,1485
17584.233333333334,179,car,2045,1032,2220,1159
17584.233333333334,333,person,3678,1176,3780,1410
17584.233333333334,388,person,740,1241,894,1704
17584.233333333334,363,car,1936,989,2053,1087
17584.233333333334,398,car,3013,1170,3406,1386
17584.233333333334,374,motorcycle,3379,1319,3692,1682
17617.6,3,car,2234,1837,3465,2148
17617.6,71,person,3776,1118,3838,1494
17617.6,372,person,331,1161,507,1484
17617.6,179,car,2043,1032,2220,1159
17617.6,333,person,3678,1176,3781,1411
17617.6,388,person,740,1241,896,1704
17617.6,363,car,1935,989,2054,1088
17617.6,398,car,3012,1173,3404,1386
17617.6,374,motorcycle,3389,1341,3714,1693
17650.966666666667,3,car,2233,1836,3466,2145
17650.966666666667,71,person,3776,1118,3838,1493
17650.966666666667,372,person,344,1161,510,1477
17650.966666666667,179,car,2044,1032,2220,1159
17650.966666666667,333,person,3678,1176,3781,1408
17650.966666666667,388,person,739,1241,896,1705
17650.966666666667,363,car,1935,989,2054,1088
17650.966666666667,398,car,3008,1178,3397,1390
17650.966666666667,374,motorcycle,3412,1369,3735,1704
17650.966666666667,285,person,2688,1308,2828,1702
17650.966666666667,277,person,3482,1162,3583,1339
17650.966666666667,403,person,939,1025,996,1198
17684.333333333336,3,car,2232,1836,3466,2144
17684.333333333336,71,person,3778,1122,3838,1489
17684.333333333336,372,person,355,1161,509,1473
17684.333333333336,179,car,2046,1032,2220,1159
17684.333333333336,388,person,735,1240,899,1706
17684.333333333336,363,car,1934,989,2054,1088
17684.333333333336,398,car,3006,1177,3386,1393
17684.333333333336,374,motorcycle,3435,1363,3764,1717
17684.333333333336,285,person,2688,1308,2829,1703
17684.333333333336,277,person,3480,1161,3585,1357
17684.333333333336,403,person,939,1025,996,1200
17717.7,3,car,2234,1837,3466,2148
17717.7,372,person,371,1158,515,1473
17717.7,179,car,2048,1033,2220,1159
17717.7,388,person,733,1240,899,1706
17717.7,363,car,1934,989,2054,1088
17717.7,398,car,3003,1179,3376,1395
17717.7,374,motorcycle,3463,1366,3792,1732
17717.7,285,person,2688,1308,2829,1703
17717.7,277,person,3481,1161,3588,1382
17717.7,403,person,938,1026,995,1201
17751.066666666666,3,car,2234,1837,3466,2149
17751.066666666666,372,person,393,1160,520,1473
17751.066666666666,179,car,2047,1033,2219,1159
17751.066666666666,388,person,732,1240,904,1706
17751.066666666666,363,car,1934,989,2054,1088
17751.066666666666,398,car,3001,1180,3372,1397
17751.066666666666,374,motorcycle,3483,1386,3828,1748
17751.066666666666,285,person,2688,1308,2828,1701
17751.066666666666,277,person,3481,1161,3587,1397
17751.066666666666,403,person,938,1026,994,1200
17751.066666666666,71,person,3780,1159,3838,1489
17784.43333333333,3,car,2233,1836,3466,2146
17784.43333333333,372,person,408,1164,524,1477
17784.43333333333,179,car,2047,1033,2219,1159
17784.43333333333,388,person,732,1240,906,1706
17784.43333333333,363,car,1934,989,2054,1088
17784.43333333333,398,car,2999,1180,3364,1400
17784.43333333333,374,motorcycle,3523,1418,3840,1758
17784.43333333333,285,person,2687,1308,2828,1702
17784.43333333333,277,person,3481,1163,3583,1400
17784.43333333333,403,person,937,1026,993,1197
17784.43333333333,71,person,3782,1160,3838,1481
17817.800000000003,3,car,2234,1837,3465,2147
17817.800000000003,372,person,423,1161,530,1473
17817.800000000003,179,car,2044,1032,2219,1159
17817.800000000003,388,person,731,1239,907,1705
17817.800000000003,363,car,1934,988,2054,1088
17817.800000000003,398,car,2997,1182,3357,1403
17817.800000000003,285,person,2687,1308,2828,1703
17817.800000000003,277,person,3475,1162,3583,1400
17817.800000000003,403,person,935,1027,994,1199
17817.800000000003,333,person,3681,1171,3789,1404
17851.166666666668,3,car,2234,1837,3464,2148
17851.166666666668,372,person,431,1160,536,1472
17851.166666666668,179,car,2044,1032,2219,1159
17851.166666666668,388,person,732,1237,906,1705
17851.166666666668,363,car,1935,989,2054,1088
17851.166666666668,398,car,2996,1183,3352,1405
17851.166666666668,285,person,2687,1308,2827,1704
17851.166666666668,277,person,3479,1162,3582,1401
17851.166666666668,333,person,3680,1170,3787,1391
17851.166666666668,374,motorcycle,3568,1452,3840,1776
17884.533333333333,3,car,2233,1835,3464,2145
17884.533333333333,372,person,435,1158,540,1484
17884.533333333333,179,car,2042,1032,2220,1159
17884.533333333333,388,person,730,1237,905,1705
17884.533333333333,363,car,1935,988,2054,1088
17884.533333333333,398,car,2996,1185,3346,1408
17884.533333333333,285,person,2687,1308,2827,1704
17884.533333333333,277,person,3481,1163,3582,1402
17884.533333333333,333,person,3680,1171,3791,1402
17884.533333333333,374,motorcycle,3602,1393,3840,1772
17884.533333333333,350,person,758,1239,906,1635
17917.899999999998,3,car,2234,1835,3464,2147
17917.899999999998,372,person,438,1156,548,1489
17917.899999999998,179,car,2042,1032,2220,1159
17917.899999999998,388,person,728,1236,901,1706
17917.899999999998,363,car,1935,988,2054,1087
17917.899999999998,398,car,2995,1187,3339,1411
17917.899999999998,285,person,2686,1308,2827,1706
17917.899999999998,277,person,3481,1163,3582,1402
